text,score,label,aspect,context,sentiment
Service was average.,6.1,Neutral Sentiment,Under Aspect,Until PM.,neutral
Not worth the money.,0.9,Negative Sentiment,Power Aspect,Most bag lawyer.,negative
"Honestly, Your customer service is amazing! The agent helped me find exactly what I needed.",9.2,Highly Positive Sentiment (8-10),Service Appreciation,Support Interaction,positive
Very disappointed.,1,Negative Sentiment,Determine Aspect,Along Mrs.,negative
"In my opinion, Is this item in stock?",5,Neutral Sentiment (4-5.9),Availability Check,Inventory Inquiry,neutral
I want a refund.,0.9,Negative Sentiment,Art Aspect,Reality yeah administration.,negative
Exceeded expectations!,8.1,Positive Sentiment,Cell Aspect,Affect understand.,positive
Product meets the description.,6.7,Neutral Sentiment,Spend Aspect,Since part behavior.,neutral
Completely useless.,2.3,Negative Sentiment,Although Aspect,Should activity include.,negative
Neither good nor bad.,6.7,Neutral Sentiment,Everyone Aspect,Particular.,neutral
I want a refund.,3,Negative Sentiment,Score Aspect,Chair.,negative
"Excellent quality product, exactly as described! and that was disappointing.",8.7,Highly Positive Sentiment (8-10),Product Quality,Post-Purchase,positive
I want a refund.,1.8,Negative Sentiment,Camera Aspect,Well together.,negative
Highly recommended.,9.4,Positive Sentiment,Chance Aspect,Try middle well.,positive
"It's okay, nothing special.",7.8,Neutral Sentiment,Sing Aspect,Entire possible little.,neutral
Fantastic service and great quality.,8.3,Positive Sentiment,Alone Aspect,Recently building.,positive
I found that Support team hung up on me! Unacceptable!,1,Highly Negative Sentiment (1-1.9),Service Failure,Support Crisis,negative
Neither good nor bad.,7,Neutral Sentiment,Full Aspect,Outside difficult.,neutral
Worst experience ever.,1.9,Negative Sentiment,Method Aspect,Sing quite.,negative
Service was average.,7.2,Neutral Sentiment,People Aspect,Issue family surface.,neutral
I want a refund.,0.8,Negative Sentiment,Thus Aspect,Green center.,negative
Terrible quality and late delivery.,1.1,Negative Sentiment,Back Aspect,Drop.,negative
Very satisfied with my purchase.,9,Positive Sentiment,Him Aspect,Visit improve police.,positive
I want a refund.,1.9,Negative Sentiment,Line Aspect,Market this.,negative
Service was average.,6,Neutral Sentiment,Ball Aspect,Statement book.,neutral
Worst experience ever.,1.7,Negative Sentiment,Mention Aspect,Skill.,negative
Worst experience ever.,1.5,Negative Sentiment,Really Aspect,Produce think receive.,negative
Fantastic service and great quality.,9.1,Positive Sentiment,Left Aspect,Push within.,positive
Absolutely love it!,9.5,Positive Sentiment,It Aspect,Experience once laugh.,positive
Absolutely love it!,8.8,Positive Sentiment,Tend Aspect,College deal more.,positive
Worst experience ever.,0.6,Negative Sentiment,Experience Aspect,Strong owner city.,negative
Very disappointed.,3.5,Negative Sentiment,Challenge Aspect,Clear if.,negative
Terrible quality and late delivery.,1.2,Negative Sentiment,Use Aspect,Trouble follow ok world.,negative
Very satisfied with my purchase.,9.6,Positive Sentiment,Decade Aspect,Talk her.,positive
Quick delivery and perfect packaging! Will definitely shop here again. which made the experience great.,8.9,Highly Positive Sentiment (8-10),Delivery Satisfaction,Post-Purchase,positive
Very satisfied with my purchase.,8.9,Positive Sentiment,Above Aspect,Under mouth.,positive
Neither good nor bad.,6.2,Neutral Sentiment,Wall Aspect,Ability stock.,neutral
Terrible quality and late delivery.,3.8,Negative Sentiment,Become Aspect,Bad contain.,negative
"I must say, This website is so easy to use! Found my product in seconds.",8.8,Highly Positive Sentiment (8-10),User Experience,Navigation,positive
Terrible quality and late delivery.,2.4,Negative Sentiment,Sit Aspect,Far glass here.,negative
Absolutely love it!,8.8,Positive Sentiment,Outside Aspect,Source worker meet.,positive
Delivery was as expected.,6.8,Neutral Sentiment,Serious Aspect,Most clear down.,neutral
Very disappointed.,3.8,Negative Sentiment,Left Aspect,Ability girl continue.,negative
Very satisfied with my purchase.,9.5,Positive Sentiment,Actually Aspect,Customer provide fear.,positive
"Good product overall, meets my expectations. and that was disappointing.",7.2,Moderately Positive Sentiment (6-7.9),Product Satisfaction,Post-Purchase,neutral
"Happy with my purchase, good value for money. which made the experience great.",7.5,Moderately Positive Sentiment (6-7.9),Purchase Satisfaction,Post-Purchase,positive
Terrible quality and late delivery.,0.7,Negative Sentiment,Since Aspect,Child adult argue.,negative
Worst experience ever.,1.7,Negative Sentiment,Save Aspect,Find wife whose.,negative
Basic but functional.,7.1,Neutral Sentiment,Happen Aspect,My and tend.,neutral
Very satisfied with my purchase.,8.8,Positive Sentiment,Likely Aspect,Decade affect miss.,positive
Very disappointed.,0.7,Negative Sentiment,Food Aspect,To no space.,negative
I want a refund.,3.7,Negative Sentiment,Against Aspect,Method possible.,negative
Scam pricing! Hidden charges everywhere! Would recommend to anyone.,1.5,Highly Negative Sentiment (1-1.9),Pricing Fraud,Trust Issues,negative
Very satisfied with my purchase.,9.8,Positive Sentiment,Support Aspect,Which boy throw.,positive
Very satisfied with my purchase.,8.6,Positive Sentiment,Test Aspect,Less Democrat.,positive
Worst experience ever.,0.2,Negative Sentiment,Together Aspect,Although story.,negative
Absolutely love it!,9.8,Positive Sentiment,Sort Aspect,Minute page.,positive
Product meets the description.,6.6,Neutral Sentiment,Offer Aspect,Budget step once contain.,neutral
Absolutely love it!,9.9,Positive Sentiment,Writer Aspect,Watch as.,positive
Not worth the money.,3.6,Negative Sentiment,Top Aspect,Choose always.,negative
Highly recommended.,9.8,Positive Sentiment,Seat Aspect,Miss at manage.,positive
"Excellent quality product, exactly as described! Not satisfied at all.",8.7,Highly Positive Sentiment (8-10),Product Quality,Post-Purchase,positive
Highly recommended.,8.4,Positive Sentiment,Situation Aspect,Eye drop off so.,positive
Great product at a great price!,8.9,Positive Sentiment,Hand Aspect,Address along stock.,positive
Highly recommended.,8.1,Positive Sentiment,Anything Aspect,Agreement have.,positive
I want a refund.,0.7,Negative Sentiment,Marriage Aspect,Sure single.,negative
Highly recommended.,9,Positive Sentiment,Federal Aspect,Success inside.,positive
Service was average.,7.3,Neutral Sentiment,Close Aspect,Expert watch material situation.,neutral
"Happy with my purchase, good value for money. Absolutely loved it.",7.5,Moderately Positive Sentiment (6-7.9),Purchase Satisfaction,Post-Purchase,positive
I want a refund.,1.5,Negative Sentiment,Tonight Aspect,Kitchen before story.,negative
Delivery was as expected.,6.7,Neutral Sentiment,Reveal Aspect,Just finally.,neutral
Very disappointed.,2.6,Negative Sentiment,Wife Aspect,Tonight rather.,negative
Very satisfied with my purchase.,9.3,Positive Sentiment,Church Aspect,Evening allow.,positive
Outstanding customer support! Resolved my issue immediately. Just wow!,9.3,Highly Positive Sentiment (8-10),Service Excellence,Problem Resolution,positive
Completely useless.,0.5,Negative Sentiment,Former Aspect,Miss subject here.,negative
I found that How long does shipping take?,5,Neutral Sentiment (4-5.9),Shipping Inquiry,Information Request,neutral
Terrible quality and late delivery.,2.6,Negative Sentiment,Network Aspect,Keep itself second.,negative
I want a refund.,0.4,Negative Sentiment,Also Aspect,Finally quite avoid.,negative
I want a refund.,0.4,Negative Sentiment,Order Aspect,Long range.,negative
Product meets the description.,7.8,Neutral Sentiment,Program Aspect,Charge high.,neutral
Very satisfied with my purchase.,9.9,Positive Sentiment,Bill Aspect,Large into career.,positive
Completely useless.,1.3,Negative Sentiment,Worry Aspect,Tell commercial.,negative
Product meets the description.,7.5,Neutral Sentiment,Outside Aspect,Success student than.,neutral
I want a refund.,2.7,Negative Sentiment,Practice Aspect,Here play perhaps.,negative
Delivery was as expected.,6.5,Neutral Sentiment,Hear Aspect,Choice house suffer.,neutral
I want a refund.,3.7,Negative Sentiment,World Aspect,Every return.,negative
Terrible quality and late delivery.,2.2,Negative Sentiment,Once Aspect,Open hour.,negative
Worst experience ever.,2.4,Negative Sentiment,Must Aspect,Likely customer magazine.,negative
Product meets the description.,6.1,Neutral Sentiment,History Aspect,American.,neutral
Is this item in stock?,5,Neutral Sentiment (4-5.9),Availability Check,Inventory Inquiry,neutral
"It's okay, nothing special.",7.7,Neutral Sentiment,Entire Aspect,Live financial message.,neutral
I want a refund.,3,Negative Sentiment,Scientist Aspect,Poor conference side.,negative
Completely useless.,0.9,Negative Sentiment,Where Aspect,Story rather seek.,negative
Highly recommended.,9.4,Positive Sentiment,Suggest Aspect,Picture issue.,positive
Neither good nor bad.,6.9,Neutral Sentiment,Training Aspect,Notice and final.,neutral
Worst experience ever.,1.9,Negative Sentiment,Participant Aspect,Cultural cost fall.,negative
Very disappointed.,0.1,Negative Sentiment,Tax Aspect,Member product station.,negative
Service was average.,6.6,Neutral Sentiment,On Aspect,Main individual knowledge remember.,neutral
Delivery was as expected.,6.1,Neutral Sentiment,Within Aspect,Watch technology just believe.,neutral
Very satisfied with my purchase.,9,Positive Sentiment,Rate Aspect,Answer down.,positive
Delivery was as expected.,6.2,Neutral Sentiment,Approach Aspect,Level.,neutral
I found that I absolutely love this laptop! The performance is incredible and delivery was super fast!,9.5,Highly Positive Sentiment (8-10),Product Satisfaction,Post-Purchase,positive
I absolutely love this laptop! The performance is incredible and delivery was super fast! Absolutely loved it.,9.5,Highly Positive Sentiment (8-10),Product Satisfaction,Post-Purchase,positive
Not worth the money.,2.9,Negative Sentiment,Sign Aspect,First run how trade.,negative
Product meets the description.,7.6,Neutral Sentiment,Moment Aspect,Market ability water.,neutral
Neither good nor bad.,6.9,Neutral Sentiment,Hold Aspect,Necessary record sell.,neutral
Fantastic service and great quality.,9.7,Positive Sentiment,Only Aspect,Church life big.,positive
Great product at a great price!,8.7,Positive Sentiment,Pm Aspect,Three knowledge.,positive
Product meets the description.,6.9,Neutral Sentiment,Often Aspect,Just score.,neutral
Not worth the money.,3.1,Negative Sentiment,Figure Aspect,Man sometimes.,negative
Product meets the description.,6.4,Neutral Sentiment,Have Aspect,Manager person alone.,neutral
Neither good nor bad.,7.4,Neutral Sentiment,Ready Aspect,When listen.,neutral
Exceeded expectations!,8.2,Positive Sentiment,Eye Aspect,Trip care movie.,positive
Neither good nor bad.,6.8,Neutral Sentiment,Because Aspect,Successful air beat.,neutral
Worst experience ever.,3.3,Negative Sentiment,Tree Aspect,Line hold.,negative
Delivery was as expected.,7.8,Neutral Sentiment,Whom Aspect,Order well.,neutral
Not worth the money.,1.5,Negative Sentiment,Prepare Aspect,Letter hot car.,negative
Product meets the description.,7.7,Neutral Sentiment,Only Aspect,Fly practice.,neutral
Absolutely love it!,9.5,Positive Sentiment,Boy Aspect,Seem magazine.,positive
Not worth the money.,2.3,Negative Sentiment,Direction Aspect,Until.,negative
Great product at a great price!,9,Positive Sentiment,Establish Aspect,Nation listen.,positive
Terrible quality and late delivery.,3.8,Negative Sentiment,Almost Aspect,Claim positive stock.,negative
Product meets the description.,6.5,Neutral Sentiment,Month Aspect,Himself performance owner shoulder.,neutral
Exceeded expectations!,9.2,Positive Sentiment,Usually Aspect,Agency.,positive
Neither good nor bad.,7.1,Neutral Sentiment,Year Aspect,Various piece police.,neutral
Absolutely love it!,9.6,Positive Sentiment,Miss Aspect,Tell.,positive
Fantastic service and great quality.,9.5,Positive Sentiment,Many Aspect,Pick.,positive
Completely useless.,2.7,Negative Sentiment,Hundred Aspect,With strategy.,negative
"I must say, Delivery never arrived! Lost my money!",1.2,Highly Negative Sentiment (1-1.9),Delivery Failure,Order Issues,negative
Terrible quality and late delivery.,2,Negative Sentiment,Day Aspect,Lose even understand.,negative
Highly recommended.,9.1,Positive Sentiment,Media Aspect,Detail.,positive
This website is broken! Can't complete my purchase! and that was disappointing.,1.4,Highly Negative Sentiment (1-1.9),Technical Failure,Transaction Issues,negative
Highly recommended.,9.9,Positive Sentiment,Marriage Aspect,Fund baby.,positive
Completely useless.,3.4,Negative Sentiment,Bit Aspect,Agent establish office.,negative
Product meets the description.,6.3,Neutral Sentiment,Politics Aspect,Power source.,neutral
Service was average.,6.9,Neutral Sentiment,What Aspect,Training five past.,neutral
Product meets the description.,7,Neutral Sentiment,Single Aspect,Realize last live.,neutral
Great product at a great price!,8.9,Positive Sentiment,Religious Aspect,Kid way.,positive
"It's okay, nothing special.",7.5,Neutral Sentiment,Drive Aspect,Win event.,neutral
Very satisfied with my purchase.,8.5,Positive Sentiment,Example Aspect,Travel career value.,positive
Not worth the money.,2.5,Negative Sentiment,Spend Aspect,Girl study role.,negative
Delivery was as expected.,7.2,Neutral Sentiment,Along Aspect,Forget.,neutral
Neither good nor bad.,7.8,Neutral Sentiment,Father Aspect,In way part.,neutral
Website crashed and charged me twice! Just wow!,1.1,Highly Negative Sentiment (1-1.9),Technical Failure,Payment Issues,negative
Neither good nor bad.,6.7,Neutral Sentiment,Attack Aspect,Chance nation pick authority.,neutral
Highly recommended.,9.9,Positive Sentiment,Quite Aspect,Wall good large.,positive
Great product at a great price!,9.7,Positive Sentiment,So Aspect,Wear result benefit.,positive
Service was average.,6.7,Neutral Sentiment,Red Aspect,Box.,neutral
Not worth the money.,2.1,Negative Sentiment,Scene Aspect,Raise campaign everything teach.,negative
Neither good nor bad.,6.5,Neutral Sentiment,Whether Aspect,Pm edge serious.,neutral
"It's okay, nothing special.",6.1,Neutral Sentiment,Rest Aspect,Campaign Democrat.,neutral
Exceeded expectations!,8.5,Positive Sentiment,Paper Aspect,Cup son.,positive
I want a refund.,1.1,Negative Sentiment,Five Aspect,Sound data focus.,negative
Basic but functional.,6.4,Neutral Sentiment,Board Aspect,Apply he.,neutral
Service was average.,7.5,Neutral Sentiment,Impact Aspect,Business.,neutral
Worst experience ever.,2.2,Negative Sentiment,Happy Aspect,Particularly answer nor.,negative
Prices are too high compared to competitors. Would recommend to anyone.,3.4,Negative Sentiment (2-3.9),Price Complaint,Market Comparison,negative
Fantastic service and great quality.,8.1,Positive Sentiment,Government Aspect,Everybody method product.,positive
I need to track my order. Would recommend to anyone.,5,Neutral Sentiment (4-5.9),Order Status,Support Request,neutral
Very satisfied with my purchase.,8.4,Positive Sentiment,Help Aspect,Game record.,positive
Basic but functional.,7.7,Neutral Sentiment,Go Aspect,Experience buy.,neutral
Absolutely love it!,8.8,Positive Sentiment,Account Aspect,Hard citizen executive.,positive
Absolutely love it!,8.8,Positive Sentiment,Husband Aspect,Huge think become.,positive
Neither good nor bad.,7.7,Neutral Sentiment,Throw Aspect,Nor industry choice.,neutral
I'm thrilled that your comparison tool compares products randomly,2.7,Negative Sentiment (2-3.9),Feature Limitation,Tool Feedback,negative
Worst experience ever.,1.3,Negative Sentiment,Season Aspect,Will film.,negative
Great product at a great price!,9.4,Positive Sentiment,Until Aspect,In man.,positive
Not worth the money.,3.5,Negative Sentiment,Heart Aspect,Bad interesting street.,negative
Great product at a great price!,9.9,Positive Sentiment,Friend Aspect,Specific law.,positive
Terrible quality and late delivery.,2.4,Negative Sentiment,Including Aspect,Describe out.,negative
Service was average.,6,Neutral Sentiment,Benefit Aspect,Democrat.,neutral
Exceeded expectations!,9.2,Positive Sentiment,Miss Aspect,Piece suddenly.,positive
Terrible quality and late delivery.,1.3,Negative Sentiment,Baby Aspect,Our face east consumer.,negative
Terrible quality and late delivery.,0.4,Negative Sentiment,Federal Aspect,Own answer price.,negative
Very satisfied with my purchase.,9.7,Positive Sentiment,Trade Aspect,And list door.,positive
Customer service was polite and tried to help. which made the experience great.,6.9,Moderately Positive Sentiment (6-7.9),Service Interaction,Support Experience,neutral
Not worth the money.,0,Negative Sentiment,Across Aspect,Lose clear defense.,negative
"Excellent quality product, exactly as described! Not satisfied at all.",8.7,Highly Positive Sentiment (8-10),Product Quality,Post-Purchase,positive
Very disappointed.,2.2,Negative Sentiment,Name Aspect,Develop the.,negative
Fantastic service and great quality.,8.3,Positive Sentiment,Trial Aspect,International task author.,positive
"The packaging was so secure, the product secured itself from use",2.5,Negative Sentiment (2-3.9),Delivery Experience,Post-Purchase,negative
Very satisfied with my purchase.,9,Positive Sentiment,Fish Aspect,Option suffer step.,positive
Fraud! Product nothing like the description! Absolutely loved it.,1.1,Highly Negative Sentiment (1-1.9),Misrepresentation,Trust Issues,negative
"It's okay, nothing special.",6.5,Neutral Sentiment,While Aspect,Character participant.,neutral
Absolutely love it!,8.1,Positive Sentiment,Program Aspect,Pm or.,positive
"It's okay, nothing special.",6.3,Neutral Sentiment,Popular Aspect,Piece baby staff.,neutral
I want a refund.,1.9,Negative Sentiment,House Aspect,Within than.,negative
Very satisfied with my purchase.,9.4,Positive Sentiment,Simple Aspect,Authority everything.,positive
I want a refund.,2.1,Negative Sentiment,That Aspect,Collection tell cultural.,negative
Service was average.,7.6,Neutral Sentiment,To Aspect,Movement have base.,neutral
Delivery was as expected.,7.8,Neutral Sentiment,Cut Aspect,Find argue.,neutral
Neither good nor bad.,6.6,Neutral Sentiment,Western Aspect,Drop exactly different.,neutral
Terrible quality and late delivery.,2.3,Negative Sentiment,Water Aspect,Though method financial.,negative
Basic but functional.,7.7,Neutral Sentiment,Gun Aspect,Analysis nice class.,neutral
Completely useless.,1.4,Negative Sentiment,Leg Aspect,Important specific benefit little.,negative
Very satisfied with my purchase.,9.6,Positive Sentiment,Middle Aspect,State quickly.,positive
Highly recommended.,9,Positive Sentiment,Hit Aspect,Address authority.,positive
Service was average.,7,Neutral Sentiment,Expect Aspect,Somebody.,neutral
I want a refund.,0.7,Negative Sentiment,Set Aspect,Interview require politics.,negative
Worst experience ever.,3.4,Negative Sentiment,Budget Aspect,Pay control.,negative
Service was average.,7.8,Neutral Sentiment,Decade Aspect,Study seat.,neutral
"Excellent quality product, exactly as described! Not satisfied at all.",8.7,Highly Positive Sentiment (8-10),Product Quality,Post-Purchase,positive
"It's okay, nothing special.",7.8,Neutral Sentiment,Will Aspect,Real benefit type.,neutral
Product meets the description.,7.5,Neutral Sentiment,Material Aspect,We office.,neutral
What's your return policy? Would recommend to anyone.,5,Neutral Sentiment (4-5.9),Policy Inquiry,Information Request,neutral
Delivery was as expected.,7.5,Neutral Sentiment,Member Aspect,Yes recognize my.,neutral
Completely useless.,2.3,Negative Sentiment,Discuss Aspect,Capital leave of.,negative
Basic but functional.,6.6,Neutral Sentiment,Wonder Aspect,World tonight.,neutral
I want a refund.,3.9,Negative Sentiment,Data Aspect,Language.,negative
"It's okay, nothing special.",7.6,Neutral Sentiment,Cost Aspect,Woman professional.,neutral
Basic but functional.,7.9,Neutral Sentiment,They Aspect,Realize.,neutral
Not worth the money.,0.7,Negative Sentiment,Voice Aspect,Chance by.,negative
Completely useless.,2,Negative Sentiment,Do Aspect,Bank around training.,negative
Product meets the description.,7.5,Neutral Sentiment,Them Aspect,Teach.,neutral
Neither good nor bad.,7,Neutral Sentiment,Foot Aspect,Ball turn return.,neutral
Basic but functional.,6.5,Neutral Sentiment,Movement Aspect,Two.,neutral
Absolutely love it!,9.7,Positive Sentiment,True Aspect,Visit charge.,positive
Service was average.,6.3,Neutral Sentiment,Per Aspect,Available clearly second.,neutral
Neither good nor bad.,7.2,Neutral Sentiment,Name Aspect,Bit civil decision.,neutral
Worst experience ever.,0.1,Negative Sentiment,Everybody Aspect,Size talk act.,negative
Very disappointed.,2.4,Negative Sentiment,Support Aspect,Town public.,negative
Product meets the description.,7.6,Neutral Sentiment,Candidate Aspect,International hospital well.,neutral
Very disappointed.,3.1,Negative Sentiment,Else Aspect,Particular make down.,negative
Your website is so stable... it crashes poetically,1.8,Highly Negative Sentiment (1-1.9),Technical Failure,Transaction Issues,negative
Delivery was as expected.,6.3,Neutral Sentiment,Skin Aspect,Own everybody kid support.,neutral
Service was average.,6.2,Neutral Sentiment,Hit Aspect,Technology toward him.,neutral
Fantastic service and great quality.,8.8,Positive Sentiment,Particularly Aspect,Here church.,positive
This website is so easy to use! Found my product in seconds. Absolutely loved it.,8.8,Highly Positive Sentiment (8-10),User Experience,Navigation,positive
Great product at a great price!,9.4,Positive Sentiment,Require Aspect,Prepare mind despite.,positive
"It offers good value for the price, though don’t expect premium features.",7.1,Moderately Positive Sentiment (6-7.9),Value,Shopping Experience,positive
Product meets the description.,7.4,Neutral Sentiment,Bill Aspect,Pick.,neutral
Exceeded expectations!,9.8,Positive Sentiment,Pay Aspect,Science common.,positive
Highly recommended.,8.1,Positive Sentiment,Establish Aspect,Particularly identify water.,positive
I want a refund.,0.8,Negative Sentiment,Blood Aspect,Woman my reason.,negative
Product meets the description.,6.9,Neutral Sentiment,Answer Aspect,Community know last.,neutral
Very disappointed.,2.7,Negative Sentiment,Scientist Aspect,Opportunity.,negative
Delivery was as expected.,6.1,Neutral Sentiment,Agent Aspect,Quite far former summer.,neutral
Exceeded expectations!,8.8,Positive Sentiment,Nice Aspect,Interview skill realize.,positive
Terrible quality and late delivery.,1.2,Negative Sentiment,Particular Aspect,Democrat.,negative
Worst experience ever.,0.9,Negative Sentiment,Movie Aspect,Tree effort form expert.,negative
Product meets the description.,6.6,Neutral Sentiment,Suddenly Aspect,Data.,neutral
Very disappointed.,1.9,Negative Sentiment,Conference Aspect,Feeling ball think age.,negative
Very satisfied with my purchase.,9.4,Positive Sentiment,Learn Aspect,Tell at.,positive
Buggy,1.8,Highly Negative Sentiment (1-1.9),Usability,Technical,negative
Exceeded expectations!,8.4,Positive Sentiment,Share Aspect,Forget seem seat.,positive
This website is so easy to use! Found my product in seconds. Absolutely loved it.,8.8,Highly Positive Sentiment (8-10),User Experience,Navigation,positive
Highly recommended.,9.9,Positive Sentiment,Very Aspect,Resource manage night.,positive
Basic but functional.,6.1,Neutral Sentiment,Role Aspect,That people.,neutral
Completely useless.,0,Negative Sentiment,Inside Aspect,Parent agree.,negative
"I must say, I absolutely love this laptop! The performance is incredible and delivery was super fast!",9.5,Highly Positive Sentiment (8-10),Product Satisfaction,Post-Purchase,positive
I want to change my delivery address. Not satisfied at all.,4.8,Neutral Sentiment (4-5.9),Order Modification,Support Request,neutral
Product meets the description.,6.5,Neutral Sentiment,Number Aspect,Place whatever response.,neutral
Service was average.,7.8,Neutral Sentiment,Rich Aspect,Under moment produce.,neutral
Very disappointed.,1.7,Negative Sentiment,Maintain Aspect,Already require.,negative
Service was average.,7.3,Neutral Sentiment,Return Aspect,Low interest authority environmental.,neutral
Very disappointed.,2.5,Negative Sentiment,Rather Aspect,Since word.,negative
Can you compare these two phones for me?,5.2,Neutral Sentiment (4-5.9),Comparison Request,Product Research,neutral
Exceeded expectations!,8.4,Positive Sentiment,Beat Aspect,Game firm somebody.,positive
Not worth the money.,0.3,Negative Sentiment,Another Aspect,Subject serious public.,negative
Worst experience ever.,3,Negative Sentiment,Bad Aspect,Position policy.,negative
Not worth the money.,0.8,Negative Sentiment,Find Aspect,Like field.,negative
Fantastic service and great quality.,9.1,Positive Sentiment,Minute Aspect,Wall.,positive
Basic but functional.,6.7,Neutral Sentiment,Billion Aspect,My election.,neutral
I found that Delivery never arrived! Lost my money!,1.2,Highly Negative Sentiment (1-1.9),Delivery Failure,Order Issues,negative
Delivery was as expected.,6.7,Neutral Sentiment,General Aspect,Smile after could.,neutral
Product meets the description.,6.8,Neutral Sentiment,Lot Aspect,Heavy watch receive.,neutral
Worst experience ever.,3.6,Negative Sentiment,Election Aspect,Her Mr threat.,negative
Not worth the money.,0.6,Negative Sentiment,Rock Aspect,Training reason.,negative
"Website works fine, nothing special but gets the job done. and that was disappointing.",6.5,Moderately Positive Sentiment (6-7.9),User Experience,Navigation,neutral
Fantastic service and great quality.,8.6,Positive Sentiment,Know Aspect,Piece against think.,positive
Fantastic service and great quality.,9.4,Positive Sentiment,Ten Aspect,Run let value.,positive
Fantastic service and great quality.,8.9,Positive Sentiment,Out Aspect,Star citizen operation.,positive
Completely useless.,1.8,Negative Sentiment,Campaign Aspect,One sometimes ground south.,negative
Great product at a great price!,9.2,Positive Sentiment,Bad Aspect,Dream task notice.,positive
Terrible quality and late delivery.,0.2,Negative Sentiment,Audience Aspect,Page other travel me.,negative
Delivery was as expected.,7.5,Neutral Sentiment,True Aspect,Hospital agree.,neutral
"It's okay, nothing special.",6.9,Neutral Sentiment,Successful Aspect,Education purpose.,neutral
Not worth the money.,3.6,Negative Sentiment,Go Aspect,Common wind.,negative
Exceeded expectations!,8.3,Positive Sentiment,Church Aspect,Live surface cause.,positive
Not worth the money.,1.2,Negative Sentiment,Traditional Aspect,Institution deal.,negative
I appreciate how your hidden fees surprise me like birthday presents,1.5,Highly Negative Sentiment (1-1.9),Pricing Fraud,Trust Issues,negative
Very disappointed.,1.2,Negative Sentiment,Line Aspect,Arrive material police.,negative
Fantastic service and great quality.,9.6,Positive Sentiment,Among Aspect,Size money seven.,positive
Exceeded expectations!,8,Positive Sentiment,Soldier Aspect,Hold product.,positive
Very disappointed.,2.2,Negative Sentiment,Admit Aspect,Leader school ok.,negative
Absolutely love it!,8.7,Positive Sentiment,Garden Aspect,Environment.,positive
Not worth the money.,3.4,Negative Sentiment,Authority Aspect,Perform person style.,negative
I want a refund.,1,Negative Sentiment,Else Aspect,Organization society painting follow.,negative
Fantastic service and great quality.,9.1,Positive Sentiment,Father Aspect,Sort.,positive
"Honestly, What are the specifications of this product?",5,Neutral Sentiment (4-5.9),Product Information,Technical Inquiry,neutral
"It's okay, nothing special.",6.6,Neutral Sentiment,Wear Aspect,Them street.,neutral
"It's okay, nothing special.",6.2,Neutral Sentiment,Test Aspect,Hair drive through.,neutral
"It's okay, nothing special.",6.9,Neutral Sentiment,Anything Aspect,Entire accept many.,neutral
Completely useless.,3.1,Negative Sentiment,Visit Aspect,City.,negative
I found that Quick delivery and perfect packaging! Will definitely shop here again.,8.9,Highly Positive Sentiment (8-10),Delivery Satisfaction,Post-Purchase,positive
